,Timestamp,Indicate your current degree of studies,Which country is your school in?,Are your classes currently being conducted online?,What platform is your online school using?,"The nature and purpose of this research have been sufficiently explained. I understand that I am free to withdraw at any time without incurring any penalty. If you are 18 years of age or older, understand the statements above, and freely consent to participate in the study, click on the ""I Agree"" button to begin the survey. If not, thank you for your time.",1. How many of the following techniques do your teachers use in class?,3-9. Please indicate how much you agree or disagree with the following statements: [I enjoy having classes online.],3-9. Please indicate how much you agree or disagree with the following statements: [I feel motivated before class.],3-9. Please indicate how much you agree or disagree with the following statements: [I am satisfied with how my teachers conduct online classes.],3-9. Please indicate how much you agree or disagree with the following statements: [My classes are engaging.],3-9. Please indicate how much you agree or disagree with the following statements: [I am often distracted during class.],3-9. Please indicate how much you agree or disagree with the following statements: [I speak often during each class.],3-9. Please indicate how much you agree or disagree with the following statements: [I often ask the teacher Qs (either verbally or in chat)],"10. If you could change one thing about the way your online classes are designed, what would you change? Why?",11. Do you prefer online classes over in-person classes? Why or why not?,In-class assessments/quizzes,Asking students to explain concepts to the class,Debates,Small group activities where you solve a problem together,Role playing situations,Q&A with students' questions,Asking you to apply class material to a new context,assessments,explanation,debates,activities,rp,qna,application
4730,4/6/2020 6:37:39,High school,United Kingdom,"Kind of, were being emailed exam questions and papers and using classcharts ",Classcharts and email,I agree,"In-class assessments/quizzes, Videos, Q&A with students' questions, Asking you to apply class material to a new context",Disagree,Disagree,Neutral,Neutral,Agree,Neutral,Disagree,I would have more realistic amounts of work set as I’m not doing things like video conferencing so teachers are setting more work than if we were at school which isn’t ideal :/,"In person, more motivated, less distraction within a school environment, plus it’s much easier to ask little questions and receive and immediate response.",1,1,1,1,1,1,1,1,1,1,1,1,1,1
4733,4/6/2020 6:37:41,College/sixth form ,United Kingdom,Yes,Emailing work to students,I agree,"Videos, Asking students to explain concepts to the class, Debates, Small group activities where you solve a problem together, Asking you to apply class material to a new context",Disagree,Neutral,Disagree,Neutral,Agree,Neutral,Disagree,Interaction between the staff and students could be much better ,"No, I’d rather feel as though I need to get the work completed on time and see lecturers so that they can explain the work that they are giving us ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
4734,4/6/2020 6:37:44,High school,Hungary,Yes,Discord and Google Classroom,I agree,"In-class assessments/quizzes, Videos, Explanation using Diagrams, Q&A with students' questions",Agree,Neutral,Agree,Neutral,Agree,Agree,Strongly Agree,"I would use more videos, diagrams, pictures etc to explain the material, because we should take this new way of learning as an opportunity to make something more interesting.","No, since it's not as personal, there isn't that much room for direct feedback",1,1,1,1,1,1,1,1,1,1,1,1,1,1
4735,4/6/2020 6:37:44,Undergraduate,Canada,Yes,Google Meet,I agree,"Explanation using Diagrams, Q&A with students' questions",Neutral,Neutral,Disagree,Neutral,Agree,Disagree,Disagree,"My teachers are all on the older side (55+; 65+) and they had a hard time adjusting so quickly, so it was tough to adjust to that new normal. Many had never used Google Meet ever before, or heard of it. In addition, their approaches are all different; ideally, the school would have been able to coordinate a consistent way of teaching online. ","No, because I get more distracted not being in class and my house is loud. ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
4736,4/6/2020 6:37:48,High school,United Kingdom,Yes,Google Teams,I agree,"Videos, Q&A with students' questions, Asking you to apply class material to a new context",Neutral,Disagree,Neutral,Disagree,Strongly Disagree,Disagree,Disagree,Making classes more engaging and active,No as it is up to you to solely provide motivation and interest in a subject,0,1,1,1,1,1,1,0,1,1,1,1,1,1
4738,4/6/2020 6:37:55,High school,Netherlands,I’m supposed to have online classes but the teachers don’t show up,Google Teams,I agree,they only answer some questions.,Neutral,Disagree,Strongly Disagree,Disagree,Neutral,Neutral,Agree,I would encourage the teachers to prepare a class like they normally would.,"No. If all my teachers would show up for each class and prepared them well I would prefer it, but in my case they don’t so I prefer being at school.",0,1,1,1,1,1,1,0,1,1,1,1,1,1
4739,4/6/2020 6:37:56,Undergraduate,United States,Yes,Zoom,I agree,"In-class assessments/quizzes, Videos, Q&A with students' questions",Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,More in class exercises to make it more dinamic,"No, not as dinamic or efective (and I miss people)",1,1,1,1,1,1,1,1,1,1,1,1,1,1
4740,4/6/2020 6:38:03,Undergraduate,United Kingdom,Yes,Microsoft teams & blackboard,I agree,"Videos, Explanation using Diagrams, Asking you to apply class material to a new context",Disagree,Strongly Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,"More interactive, a more structured timetable and more guidance on what I should be studying on that day. Video lectures or powerpoints are posted quite randomly, which can get very confusing, and I often fall behind on them due to lack of motivation.","In-person, questions can be answered there and then where as you can often find you get no reply from emails, and being in a physical class motivates me more to learn.",0,1,1,1,1,1,1,0,1,1,1,1,1,1
4741,4/6/2020 6:38:08,High school,United States,Yes,"youtube, cyberhigh, canvas",I agree,"In-class assessments/quizzes, Videos",Agree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,more interactive,in-person classes as it allows for more interaction and motivation,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4742,4/6/2020 6:38:08,High school,United Kingdom,Yes,Zoom,I agree,"In-class assessments/quizzes, Videos, Asking students to explain concepts to the class",Neutral,Strongly Disagree,Neutral,Disagree,Agree,Strongly Agree,Disagree,More personal ,In person. It is personal to me,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4743,4/6/2020 6:38:08,Graduate,Netherlands,Yes,Big blue button,I agree,"In-class assessments/quizzes, Videos, Asking students to explain concepts to the class, Small group activities where you solve a problem together, Explanation using Diagrams, Q&A with students' questions, Asking you to apply class material to a new context",Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,"Making it morw interactive, because it is easier to be passive during a lecture because nobody sees you","Sometimes, it is easy and quicker since you dont have to go anywhere. But on the contrary it is much easier to ask questions and have discussions with your lecturer/fellow students if you are physically present",1,1,1,1,1,1,1,1,1,1,1,1,1,1
4744,4/6/2020 6:38:13,Undergraduate,United States,Yes,Zoom,I agree,"In-class assessments/quizzes, Videos, Small group activities where you solve a problem together, Asking you to apply class material to a new context",Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,I would change the way we use Zoom. I only use it for one class and it’s not very engaging. If all of my classes used Zoom and it were engaging that would be really helpful. ,I prefer in person classes because majority of my classes are discussion based and it’s hard to do work online because I’m not as motivated. Whereas in person classes I’m more in tune with what’s going on. ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4745,4/6/2020 6:38:16,Undergraduate,United Kingdom,Yes,"Zoom, recorded lectures, Microsoft teams and big blue button ",I agree,"Videos, Role playing situations, Explanation using Diagrams",Neutral,Disagree,Neutral,Disagree,Neutral,Agree,Agree,More quizzes and mire group work ,In person class because more people will contribute ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
4747,4/6/2020 6:38:23,Undergraduate,Netherlands,Yes,Zoom,I agree,"Videos, Asking students to explain concepts to the class, Explanation using Diagrams, Q&A with students' questions",Agree,Neutral,Neutral,Disagree,Neutral,Strongly Disagree,Disagree,I’d rather have prerecorded lectures than life sessions to work at my own pace ,I do because I’m more relaxed and comfortable at home rather than in a classroom ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
4748,4/6/2020 6:38:25,Undergraduate,Portugal,Yes,"Zoom, webex,recorded lectures",I agree,Only lectures with screenshare of the powerpoint,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,"I would make them less about lectures and more engaging, more questions, quizzes and little assignments ",No! My teachers’ online and in-person classes approach is basically the same- lecturing. However when jn a classroom the teacher and the classmates can see each other and it creates a little of pressure to be more focused.,0,1,1,1,1,1,1,0,1,1,1,1,1,1
4749,4/6/2020 6:38:29,Undergraduate,United Kingdom,Yes,Adobe Connect,I agree,"Videos, Small group activities where you solve a problem together, Explanation using Diagrams, Q&A with students' questions, Critiques of work with feedback from students and tutors",Neutral,Disagree,Agree,Neutral,Agree,Neutral,Neutral,Less complicated software,"No, feedback on work is much more thorough in person, video quality can also be quite bad.",0,1,1,1,1,1,1,0,1,1,1,1,1,1
4751,4/6/2020 6:38:29,Graduate,Brazil,Yes,Google Teams,I agree,"Videos, Small group activities where you solve a problem together, Asking you to apply class material to a new context",Neutral,Agree,Neutral,Disagree,Agree,Agree,Neutral,"As I study drama I would like the classes to envolve more acting and less theory, but I recognize the challenges that come with such a personal and group based degree.","No, because it is very hard to do drama online.",0,1,1,1,1,1,1,0,1,1,1,1,1,1
4754,4/6/2020 6:38:42,Undergraduate,Italy,Yes,Google Teams,I agree,"In-class assessments/quizzes, Videos, Asking students to explain concepts to the class, Small group activities where you solve a problem together",Agree,Agree,Strongly Agree,Agree,Disagree,Neutral,Neutral,"There are no breakout rooms in Google Teams like there are in Zoom, for example.","I personally prefer in-person classes because it is easier to interact with my teachers and with my classmates. With online classes it is also very difficult to have exams, especially the written ones. But teachers are doing everything they can to give us things to do and to work on.",1,1,1,1,1,1,1,1,1,1,1,1,1,1
4755,4/6/2020 6:38:43,Undergraduate,Malaysia,Yes,Google Teams,I agree,"In-class assessments/quizzes, Asking students to explain concepts to the class, Small group activities where you solve a problem together, Q&A with students' questions, Asking you to apply class material to a new context",Disagree,Disagree,Neutral,Disagree,Strongly Agree,Disagree,Disagree,"More involved & engaging with the terms of modern day learning. I am currently studying education where I have to come up with creative ways to promote good delivery for my lessons, yet my classes are not motivating","No, I prefer in person classes because I am not distracted during class & I get to be more engaged.",1,1,1,1,1,1,1,1,1,1,1,1,1,1
4758,4/6/2020 6:39:02,Undergraduate,Netherlands,Yes,Skype for Business,I agree,"In-class assessments/quizzes, Videos, Asking students to explain concepts to the class, Small group activities where you solve a problem together, Role playing situations",Neutral,Agree,Neutral,Agree,Neutral,Neutral,Disagree,"The time limit. I like how they try to keep everything the way it is but then online, but they keep organizing big presentation days where 20 groups have to present & give feedback. I cannot look at online presentations for 6 hours & give constructive feedback! I wish they would rearrange it to everyone being obligated to watch 5 other presentations & give proper feedback tot hese groups.","No, I do not. My bachelor requires a lot of making, which I do not have the supplies for currently, a lot of user testing, which I do not have the people for currently, and a lot of brainstorm sessions, which is super difficult over skype",1,1,1,1,1,1,1,1,1,1,1,1,1,1
4759,4/6/2020 6:39:04,Undergraduate,United Kingdom,Yes,Blackboard Collaborate,I agree,"In-class assessments/quizzes, Videos, Role playing situations, Explanation using Diagrams, Q&A with students' questions",Disagree,Disagree,Agree,Agree,Agree,Neutral,Agree,More contact time! It’s hard just having a couple of hours a day.,No - I miss working collaboratively ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4762,4/6/2020 6:39:15,Undergraduate,Russia,Yes,Zoom,I agree,"Videos, Asking students to explain concepts to the class, Small group activities where you solve a problem together",Agree,Agree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Neutral,"I’d say I wouldn’t go for only-online education, and I would love to mix studying online and offline.","It seems to me that now I have more opportunity to get in contact with my teachers, we now have personal meetings with them, which is great. 
But I also like sitting in uni’s buildings and in the library, cuz it’s cozy and has a special studying ambience, which I can’t always get at home.",0,1,1,1,1,1,1,0,1,1,1,1,1,1
